Naam;Weging;Industrie;Land
DENTSU GROUP INC;0,01;Communicatie;Japan
SJM HLDGS LTD;0,01;Luxe-consumentengoederen;Hong Kong
SINGAPORE TECHNOLOGIES ENGINEERING;0,01;Industrie;Singapore
NOMURA REAL ESTATE MASTER FUND REI;0,01;Vastgoed;Japan
NGK INSULATORS LTD;0,01;Industrie;Japan
CCL INDUSTRIES INC CLASS B;0,01;Materialen;Canada
NATIONAL OILWELL VARCO INC;0,01;Energie;Verenigde Staten
STANLEY ELECTRIC LTD;0,01;Luxe-consumentengoederen;Japan
AGC INC;0,01;Industrie;Japan
CLARIANT AG;0,01;Materialen;Zwitserland
TELUS CORP;0,01;Communicatie;Canada
NORSK HYDRO;0,01;Materialen;Noorwegen
CHUGOKU ELECTRIC POWER INC;0,01;Nutsbedrijven;Japan
ROHM LTD;0,01;IT;Japan
TREASURY WINE ESTATES LTD;0,01;Basis-consumentengoederen;Australië
TABCORP HOLDINGS LTD;0,01;Luxe-consumentengoederen;Australië
COVIVIO SA;0,01;Vastgoed;Frankrijk
BANK OF EAST ASIA LTD;0,01;Financiële waarden;Hong Kong
EQT;0,01;Financiële waarden;Zweden
GJENSIDIGE FORSIKRING;0,01;Financiële waarden;Noorwegen
MERCARI INC;0,01;Luxe-consumentengoederen;Japan
LANXESS AG;0,01;Materialen;Duitsland
AMBU CLASS B;0,01;Gezondheidszorg;Denemarken
KEPPEL LTD;0,01;Industrie;Singapore
SYDNEY AIRPORT STAPLED UNITS LTD;0,01;Industrie;Australië
WARTSILA;0,01;Industrie;Finland
AMUNDI SA;0,01;Financiële waarden;Frankrijk
MITSUI CHEMICALS INC;0,01;Materialen;Japan
TIS INC;0,01;IT;Japan
IDEMITSU KOSAN LTD;0,01;Energie;Japan
BANKINTER SA;0,01;Financiële waarden;Spanje
SCHIBSTED B;0,01;Communicatie;Noorwegen
TOHOKU ELECTRIC POWER INC;0,01;Nutsbedrijven;Japan
BRITISH LAND REIT PLC;0,01;Vastgoed;Verenigd Koninkrijk
ERIE INDEMNITY CLASS A;0,01;Financiële waarden;Verenigde Staten
AMERICAN FINANCIAL GROUP INC;0,01;Financiële waarden;Verenigde Staten
UNITED URBAN INVESTMENT REIT CORP;0,01;Vastgoed;Japan
GILDAN ACTIVEWEAR INC;0,01;Luxe-consumentengoederen;Canada
INTER PIPELINE LTD;0,01;Energie;Canada
SCHRODERS PLC;0,01;Financiële waarden;Verenigd Koninkrijk
LUNDIN MINING CORP;0,01;Materialen;Canada
MAPLETREE LOGISTICS TRUST UNITS;0,01;Vastgoed;Singapore
CAPITALAND COMMERCIAL TRUST;0,01;Vastgoed;Singapore
SECURITAS B;0,01;Industrie;Zweden
ASM PACIFIC TECHNOLOGY LTD;0,01;IT;Hong Kong
AUCKLAND INTERNATIONAL AIRPORT LTD;0,01;Industrie;Nieuw-Zeeland
WISETECHGLOBAL PTY LTD;0,01;IT;Australië
KURARAY LTD;0,01;Materialen;Japan
AMP LTD;0,01;Financiële waarden;Australië
HONGKONG LAND HOLDINGS LTD;0,01;Vastgoed;Hong Kong
JFE HOLDINGS INC;0,01;Materialen;Japan
ABN AMRO BANK NV;0,01;Financiële waarden;Nederland
INDUSTRIVARDEN SERIES;0,01;Financiële waarden;Zweden
JARDINE STRATEGIC HOLDINGS LTD;0,01;Industrie;Hong Kong
SCOR;0,01;Financiële waarden;Frankrijk
IPSEN SA;0,01;Gezondheidszorg;Frankrijk
BUDWEISER BREWING COMPANY APAC LTD;0,01;Basis-consumentengoederen;Hong Kong
REA GROUP LTD;0,01;Communicatie;Australië
CAPITALAND MALL TRUST;0,01;Vastgoed;Singapore
PROXIMUS NV;0,01;Communicatie;België
MONOTARO LTD;0,01;Industrie;Japan
ANDRITZ AG;0,01;Industrie;Oostenrijk
NABTESCO CORP;0,01;Industrie;Japan
REMY COINTREAU SA;0,01;Basis-consumentengoederen;Frankrijk
EVONIK INDUSTRIES AG;0,01;Materialen;Duitsland
CARLYLE GROUP INC;0,01;Financiële waarden;Verenigde Staten
WENDEL;0,01;Financiële waarden;Frankrijk
NIPPON SHINYAKU LTD;0,01;Gezondheidszorg;Japan
SCSK CORP;0,01;IT;Japan
LA FRANCAISE DES JEUX SA;0,01;Luxe-consumentengoederen;Frankrijk
FAURECIA;0,01;Luxe-consumentengoederen;Frankrijk
HULIC LTD;0,01;Vastgoed;Japan
AMADA LTD;0,01;Industrie;Japan
KYUSHU RAILWAY;0,01;Industrie;Japan
TOYO SUISAN LTD;0,01;Basis-consumentengoederen;Japan
KOBE BUSSAN LTD;0,01;Basis-consumentengoederen;Japan
MIURA LTD;0,01;Industrie;Japan
ITO EN LTD;0,01;Basis-consumentengoederen;Japan
CYBER AGENT INC;0,01;Communicatie;Japan
LIBERTY BROADBAND CORP SERIES A;0,01;Communicatie;Verenigde Staten
KEIHAN HOLDINGS LTD;0,01;Industrie;Japan
THYSSENKRUPP AG;0,01;Materialen;Duitsland
ADEVINTA;0,01;Communicatie;Noorwegen
NIPPON EXPRESS LTD;0,01;Industrie;Japan
SHIZUOKA BANK LTD;0,01;Financiële waarden;Japan
PEOPLES UNITED FINANCIAL INC;0,01;Financiële waarden;Verenigde Staten
COSMOS PHARMACEUTICAL CORP;0,01;Basis-consumentengoederen;Japan
SUNTEC UNITS TRUST;0,01;Vastgoed;Singapore
SEEK LTD;0,01;Communicatie;Australië
AMERCO;0,01;Industrie;Verenigde Staten
SEB SA;0,01;Luxe-consumentengoederen;Frankrijk
NSK LTD;0,01;Industrie;Japan
MICROPORT SCIENTIFIC CORP;0,01;Gezondheidszorg;Hong Kong
HK ELECTRIC INVESTMENTS UNITS LTD;0,01;Nutsbedrijven;Hong Kong
GENTING SINGAPORE LTD;0,01;Luxe-consumentengoederen;Singapore
INFRASTRUTTURE WIRELESS ITALIANE;0,01;Communicatie;Italië
VOESTALPINE AG;0,01;Materialen;Oostenrijk
JTEKT CORP;0,01;Luxe-consumentengoederen;Japan
RYMAN HEALTHCARE LTD;0,01;Gezondheidszorg;Nieuw-Zeeland
ELBIT SYSTEMS LTD;0,01;Industrie;Israël
DASSAULT AVIATION SA;0,01;Industrie;Frankrijk
SES SA FDR;0,01;Communicatie;Frankrijk
ORACLE JAPAN CORP;0,01;IT;Japan
PEPTIDREAM INC;0,01;Gezondheidszorg;Japan
JAPAN AIRPORT TERMINAL LTD;0,01;Industrie;Japan
TRYG;0,01;Financiële waarden;Denemarken
HITACHI METALS LTD;0,01;Materialen;Japan
TELECOM ITALIA SAVING;0,01;Communicatie;Italië
ENAGAS SA;0,01;Nutsbedrijven;Spanje
BMW PREF AG;0,01;Luxe-consumentengoederen;Duitsland
OIL SEARCH LTD;0,01;Energie;Australië
PIGEON CORP;0,01;Basis-consumentengoederen;Japan
NATIXIS SA;0,01;Financiële waarden;Frankrijk
KOBAYASHI PHARMACEUTICAL LTD;0,01;Basis-consumentengoederen;Japan
WELCIA HOLDINGS LTD;0,01;Basis-consumentengoederen;Japan
AEROPORTS DE PARIS SA;0,01;Industrie;Frankrijk
SINGAPORE AIRLINES LTD;0,01;Industrie;Singapore
MIZRAHI TEFAHOT BANK LTD;0,01;Financiële waarden;Israël
MAPLETREE COMMERCIAL UNITS TRUST;0,01;Vastgoed;Singapore
PARKLAND CORP;0,01;Energie;Canada
KEIKYU CORP;0,01;Industrie;Japan
AIR WATER INC;0,01;Materialen;Japan
ANA HOLDINGS INC;0,01;Industrie;Japan
TENARIS SA;0,01;Energie;Italië
LINE CORP;0,01;Communicatie;Japan
RYOHIN KEIKAKU LTD;0,01;Luxe-consumentengoederen;Japan
CHEUNG KONG INFRASTRUCTURE HOLDING;0,01;Nutsbedrijven;Hong Kong
CANOPY GROWTH CORP;0,01;Gezondheidszorg;Canada
ALTICE EUROPE NV;0,01;Communicatie;Nederland
FUJI ELECTRIC LTD;0,01;Industrie;Japan
SUMCO CORP;0,01;IT;Japan
ICADE REIT SA;0,01;Vastgoed;Frankrijk
AUSNET SERVICES;0,01;Nutsbedrijven;Australië
HINO MOTORS LTD;0,01;Industrie;Japan
EURAZEO;0,01;Financiële waarden;Frankrijk
CROWN RESORTS LTD;0,01;Luxe-consumentengoederen;Australië
YANGZIJIANG SHIPBUILDING HOLDINGS;0,01;Industrie;Singapore
ATCO LTD CLASS I;0,01;Nutsbedrijven;Canada
BLACKBERRY LTD;0,01;IT;Canada
DAICEL CORP;0;Materialen;Japan
IGM FINANCIAL INC;0;Financiële waarden;Canada
MERCURY NZ LTD;0;Nutsbedrijven;Nieuw-Zeeland
TAIYO NIPPON SANSO CORP;0;Materialen;Japan
SHARP CORP;0;Luxe-consumentengoederen;Japan
H LUNDBECK;0;Gezondheidszorg;Denemarken
UOL GROUP LTD;0;Vastgoed;Singapore
HITACHI CONSTRUCTION MACHINERY LTD;0;Industrie;Japan
SUNDRUG LTD;0;Basis-consumentengoederen;Japan
TOYODA GOSEI LTD;0;Luxe-consumentengoederen;Japan
ISETAN MITSUKOSHI HOLDINGS LTD;0;Luxe-consumentengoederen;Japan
DEUTSCHE LUFTHANSA AG;0;Industrie;Duitsland
MITSUBISHI GAS CHEMICAL INC;0;Materialen;Japan
KANSAI PAINT LTD;0;Materialen;Japan
FRAPORT FRANKFURT AIRPORT SERVICES;0;Industrie;Duitsland
HIROSE ELECTRIC LTD;0;IT;Japan
MARUICHI STEEL TUBE LTD;0;Materialen;Japan
NH FOODS LTD;0;Basis-consumentengoederen;Japan
MAPFRE SA;0;Financiële waarden;Spanje
THE SWATCH GROUP AG;0;Luxe-consumentengoederen;Zwitserland
TPG TELECOM LTD;0;Communicatie;Australië
HOCHTIEF AG;0;Industrie;Duitsland
CNP ASSURANCES SA;0;Financiële waarden;Frankrijk
THK LTD;0;Industrie;Japan
SHOWA DENKO;0;Materialen;Japan
PIRELLI & C;0;Luxe-consumentengoederen;Italië
SMARTCENTRES RL ESTATE INVESTMENT;0;Vastgoed;Canada
RAIFFEISEN BANK INTERNATIONAL AG;0;Financiële waarden;Oostenrijk
WASHINGTON H SOUL PATTINSON & COMP;0;Energie;Australië
MITSUBISHI MATERIALS CORP;0;Materialen;Japan
DAIRY FARM INTERNATIONAL HOLDINGS;0;Basis-consumentengoederen;Hong Kong
ACOM LTD;0;Financiële waarden;Japan
KERRY PROPERTIES LTD;0;Vastgoed;Hong Kong
METRO AG;0;Basis-consumentengoederen;Duitsland
SEVEN BANK LTD;0;Financiële waarden;Japan
MCDONALDS HOLDINGS (JAPAN) LTD;0;Luxe-consumentengoederen;Japan
LEONARDO FINMECCANICA SPA;0;Industrie;Italië
HISAMITSU PHARMACEUTICAL INC;0;Gezondheidszorg;Japan
CIMIC GROUP LTD;0;Industrie;Australië
FUKUOKA FINANCIAL GROUP INC;0;Financiële waarden;Japan
COCA-COLA BOTTLERS JAPAN HOLDINGS;0;Basis-consumentengoederen;Japan
NGK SPARK PLUG LTD;0;Luxe-consumentengoederen;Japan
ELECTRIC POWER DEVELOPMENT LTD;0;Nutsbedrijven;Japan
NIPPON YUSEN;0;Industrie;Japan
CRONOS GROUP INC;0;Gezondheidszorg;Canada
BANK OF KYOTO LTD;0;Financiële waarden;Japan
JGC HOLDINGS CORP;0;Industrie;Japan
POLA ORBIS HOLDINGS INC;0;Basis-consumentengoederen;Japan
JARDINE CYCLE AND CARRIAGE LTD;0;Luxe-consumentengoederen;Singapore
KINNEVIK REDEMPTION SHARES;0;Financiële waarden;Zweden
PACIFIC CENTURY PREMIUM DEVELOPMEN;0;Vastgoed;Hong Kong
INTERNATIONAL FLAVORS & FRAGRANCES;0;Materialen;Verenigde Staten
ISRACARD LTD;0;Financiële waarden;Israël
PUBLICIS COUPON RIGHTS;0;Overige;Frankrijk
;18%;;
;;;
;17,47%;;
;;;
;82,53%;;
