DR REDDY'S LABORATORIES;0,12%
GUANGDONG INVESTMENT;0,11%
TAIWAN MOBILE;0,11%
UNITED MICROELECTRONICS;0,11%
SAMSUNG ELECTRO-MECH, CO;0,11%
CITIC;0,11%
BANK MANDIRI;0,11%
PRESIDENT CHAIN STORE;0,11%
INNOVENT BIOLOGICS;0,11%
SK INNOVATION CO;0,11%
NOTRE DAME INTERMED ON;0,11%
IMPALA PLATINUM HOLDINGS;0,11%
TOP GLOVE CORP;0,11%
POLYUS (RUB);0,11%
COMMERCIAL INTL BANK;0,11%
HOTAI MOTOR COMPANY;0,11%
HENGAN INTL GROUP CO;0,11%
BANK OF COMMUNICATIONS H;0,11%
CIMB GROUP HOLDINGS;0,11%
SAMSUNG SDS CO;0,11%
NATURA & CO HOLDINGS;0,10%
MTN GROUP;0,10%
NESTLE INDIA;0,10%
AYALA LAND;0,10%
CELLTRION HEALTHCARE;0,10%
HUA NAN FINANCIAL HLDGS;0,10%
YUANTA FINANCIAL HOLDING;0,10%
WULIANGYE YIBIN A (HK-C);0,10%
SUN PHARMACEUTICAL IND;0,10%
HARTALEGA HOLDINGS;0,10%
LG ELECTRONICS (NEW);0,10%
SHIMAO PROPERTY HLDGS;0,10%
ENEL AMERICAS;0,10%
POLSKI KONCERN NAF ORLEN;0,10%
BANCO BRASIL ON;0,10%
PING AN HEALTHCARE & TEC;0,10%
CATCHER TECH CO;0,10%
CHINA VANKE CO H;0,10%
LG CORP (NEW);0,10%
PKO BANK POLSKI;0,10%
ASUSTEK COMPUTER;0,10%
CHINA RESOURCES GAS GRP;0,10%
QATAR ISLAMIC BANK;0,10%
SHANGHAI COMM & SAV BANK;0,10%
GLOBANT;0,10%
HDFC LIFE INSURANCE CO;0,09%
POLYMETAL INTL (RUB);0,09%
CHAILEASE HOLDING;0,09%
58,COM ADR;0,09%
BANQUE SAUDI FRANSI;0,09%
BID CORPORATION;0,09%
AVENUE SUPERMARTS;0,09%
GDS HOLDINGS A ADR;0,09%
VODACOM GROUP;0,09%
SAMSUNG FIRE & MARINE;0,09%
SAUDI BRITISH BANK;0,09%
RUMO ON;0,09%
TENCENT MUSIC ENT A ADR;0,09%
AUTOHOME ADR;0,09%
KEPCO KOREA ELECT, POWER;0,09%
MAHINDRA & MAHINDRA;0,09%
POWSZECHNY ZAKLAD UBEZP;0,09%
CHINA NATL BUILDING H;0,09%
SHANDONG WEIGAO GROUP H;0,09%
SM INVESTMENTS;0,09%
RAIA DROGASIL ON;0,09%
SIBANYE STILLWATER;0,09%
YIHAI INTL HLDG;0,08%
AMOREPACIFIC CORP (NEW);0,08%
KINGDEE INTL SOFTWARE;0,08%
REALTEK SEMICONDUCTOR;0,08%
SAUDI ARAB FERTILIZER;0,08%
SAUDI ARABIAN MINING CO;0,08%
MAGNIT GDR;0,08%
BIM BIRLESIK MAGAZALAR;0,08%
LOCALIZA RENT A CAR ON;0,08%
TAISHIN FINANCIAL HLDG;0,08%
PEGATRON;0,08%
REMGRO;0,08%
AYALA CORP;0,08%
MOBILE TELESYS ADR;0,08%
CHINA TELECOM CORP H;0,08%
CHINA MINSHENG BANK H;0,08%
CHINA EVERGRANDE GROUP;0,08%
LOJAS AMERICANAS PN;0,08%
SURGUTNEFTEGAZ COMN(RUB);0,08%
SBI LIFE INSURANCE CO;0,08%
HLB;0,08%
ACCTON TECHNOLOGY CORP;0,08%
SINOPAC HOLDINGS;0,08%
UNILEVER INDONESIA;0,08%
WOORI FINANCIAL GROUP;0,08%
CITIC SECURITIES CO H;0,08%
NOVATEK MICROELECTRS;0,08%
STATE BANK OF INDIA;0,08%
CHINA CITIC BANK H;0,08%
TELEF BRASIL PN;0,08%
BANCO DE CHILE;0,08%
AL RAYAN BANK;0,08%
TITAN COMPANY;0,08%
HAIDILAO INTL HOLDING;0,08%
ALINMA BANK;0,08%
AAC TECHNOLOGIES (CN);0,08%
SUZANO ON;0,08%
LENOVO GROUP;0,08%
BDO UNIBANK;0,08%
CHINA DEV FINANCIAL HLDG;0,08%
ZAI LAB ADR;0,08%
CHAROEN POKPHAND FOODS;0,07%
POWER GRID CORP OF INDIA;0,07%
BYD CO H;0,07%
SILERGY CORP;0,07%
PTT EXPLORATION & PROD;0,07%
CHINA JINMAO HLDGS GROUP;0,07%
SAUDI ELECTRICITY CO;0,07%
INTOUCH HOLDINGS;0,07%
JOYY INC ADR;0,07%
X5 RETAIL GROUP GDR (RU);0,07%
SK TELECOM CO;0,07%
CEMEX CPO;0,07%
KASIKORNBANK FGN;0,07%
WANT WANT CHINA HLDGS;0,07%
CENTRAL PATTANA PUB CO;0,07%
ALMARAI CO;0,07%
DIALOG GROUP;0,07%
YAGEO CORP;0,07%
JIANGSU HENGRUI A (HK-C);0,07%
B2W CIA DIGITAL ON;0,07%
SURGUTNEFTEGAZ PREF(RUB);0,07%
ICICI LOMBARD GENL INS;0,07%
SUN ART RETAIL GROUP;0,07%
WEICHAI POWER CO H;0,07%
HAIER ELCTRNCS GRP (CN);0,07%
CHINA UNICOM;0,07%
FAR EASTONE TELECOM, CO;0,07%
LITE-ON TECHNOLOGY CORP;0,07%
SABESP ON;0,07%
ABU DHABI COMM BANK;0,07%
ANGLO AMERICAN PLATINUM;0,07%
ADVANTECH CO;0,07%
FORMOSA PETROCHEMICAL CO;0,07%
PETRONAS CHEMICALS GROUP;0,07%
GODREJ CONSUMER PRDCTS;0,07%
SINOPHARM GROUP CO H;0,07%
TINGYI HOLDING CORP (CN);0,07%
OTE HELLENIC TELECOM;0,07%
EQUATORIAL ENERGIA ON;0,07%
FOSUN INTL(CN);0,07%
BB SEGURIDADE PART ON;0,07%
PETRONAS GAS;0,06%
CLICKS GROUP;0,06%
ABSA GROUP;0,06%
CCR ON;0,06%
DABUR INDIA;0,06%
CHINA YANGTZE A (HK-C);0,06%
NIO A ADR;0,06%
ARAB NATIONAL BANK;0,06%
SASOL;0,06%
WIPRO;0,06%
DIGI,COM;0,06%
CEZ CESKE ENER ZAVODY;0,06%
PTT GLOBAL CHEMICAL;0,06%
ASIA CEMENT CORP;0,06%
CHANG HWA COMMERCIAL BK;0,06%
CHINA RESOURCES CEMENT;0,06%
ASPEN PHARMACARE HLDGS;0,06%
KGHM POLSKA MIEDZ;0,06%
RICHTER GEDEON;0,06%
BANCOLOMBIA PREF;0,06%
XINYI SOLAR HLDGS (CN);0,06%
SHIN KONG FINL HLDGS;0,06%
TSINGTAO BREWERY H;0,06%
PETROBRAS DIST ON;0,06%
EMIRATES NBD BANK;0,06%
BTS GROUP HOLDINGS;0,06%
HERO MOTOCORP;0,06%
EICHER MOTORS;0,06%
MOMO A ADR;0,06%
OLD MUTUAL (NEW);0,06%
WIN SEMICONDUCTORS;0,06%
SHOPRITE HOLDINGS;0,06%
BHARAT PETROLEUM CORP;0,06%
GRUPO TELEVISA CPO;0,06%
CIPLA;0,06%
ZHONGSHENG GROUP HLDGS;0,06%
SAVOLA;0,06%
KOREA SHIPBUILDING;0,06%
CHAROEN POKPHAND INDO;0,06%
MAXIS BHD;0,06%
SOQUIMICH PREF B;0,06%
CHINA COMMUNIC CONST H;0,06%
INDUSTRIAL BANK A (HK-C);0,06%
IHH HEALTHCARE;0,05%
CONTEMPORARY AMP A(HK-C);0,05%
OIL & NATURAL GAS CORP;0,05%
GRUPO AEROP PACIFICO B;0,05%
HOME PRODUCT CENTER;0,05%
ETIHAD ETISALAT CO;0,05%
AUROBINDO PHARMA;0,05%
UPL;0,05%
WISTRON CORP;0,05%
GERDAU PN;0,05%
KINGSOFT;0,05%
BRILLIANCE CHINA AUTO;0,05%
FAR EASTERN NEW CENTURY;0,05%
DP WORLD;0,05%
NEW CHINA LIFE INS H;0,05%
COWAY;0,05%
BCO SANTANDER CHILE (NEW;0,05%
GLOBALWAFERS;0,05%
GRUPO BIMBO A;0,05%
ECOPETROL;0,05%
SAMSUNG LIFE INSURANCE;0,05%
LOTTE CHEMICAL CORP;0,05%
COMPAL ELECTRONICS;0,05%
FOSHAN HAITIAN A (HK-C);0,05%
SHANGHAI PUDONG A (HK-C);0,05%
BRITANNIA INDUSTRIES;0,05%
KOREA ZINC;0,05%
DIVI'S LABORATORIES;0,05%
IOI CORP;0,05%
MOL MAGYAR OLAJ GAZIPARI;0,05%
INTER RAO UES(RUB);0,05%
ORION CORP (NEW);0,05%
HIWIN TECHNOLOGIES CORP;0,05%
ALROSA (RUB);0,05%
FIBRA UNO ADMINISTRACION;0,05%
GULF ENERGY DEVELOPMENT;0,05%
KLABIN UNIT;0,05%
PPB GROUP;0,05%
PEOPLE'S INSURANCE CO H;0,05%
TAIWAN HIGH SPEED RAIL;0,05%
EMPRESAS COPEC;0,05%
BRF ON;0,05%
CHINA TAIPING INSURANCE;0,05%
NANYA TECHNOLOGY;0,05%
LUPIN;0,05%
CIFI HOLDINGS GROUP CO;0,05%
POWERTECH TECHNOLOGY;0,05%
SUL AMERICA UNITS;0,05%
MESAIEED PETROCHEMICAL;0,05%
ELECTRICITY GENERATING;0,05%
BARITO PACIFIC;0,05%
BANK PEKAO;0,05%
KUNLUN ENERGY;0,05%
SIME DARBY PLANTATION;0,05%
AXIATA GROUP;0,05%
A-LIVING SERVICES CO H;0,05%
EMAAR PROPERTIES;0,05%
REINET INVESTMENTS;0,05%
SHREE CEMENT;0,05%
ZHEN DING TECHNOLOGY;0,05%
GENSCRIPT BIOTECH;0,05%
SHENZHEN MINDRAY A(HK-C);0,05%
GUANGZHOU AUTO GROUP H;0,05%
BANGKOK EXPRESSWAY & MET;0,05%
HUATAI SECURITIES CO H;0,05%
RMB HOLDINGS;0,05%
BIDVEST GROUP;0,05%
NOVOLIPETSK STEEL (RUB);0,05%
PIDILITE INDUSTRIES;0,05%
GRUMA B;0,05%
KIMBERLY-CLARK MEXICO A;0,05%
WUXI APPTEC CO H;0,05%
GRUPO AEROPORTUARIO B;0,05%
ICBC A (HK-C);0,05%
MICRO-STAR INTERNATIONAL;0,05%
GIANT MANUFACTURING CO,;0,05%
HYPERMARCAS ON;0,05%
LG UPLUS;0,05%
ULTRAPAR PART ON;0,05%
CAPITEC BANK HOLDINGS;0,05%
EMPRESAS CMPC;0,05%
POU CHEN CORP;0,05%
HANSOH PHARMACEUTICAL;0,04%
VEDANTA;0,04%
GRASIM INDUSTRIES;0,04%
NESTLE (MALAYSIA);0,04%
COCA-COLA FEMSA UBL;0,04%
CHINA INTL CPTL CORP H;0,04%
INTERCONEXION ELEC (NEW);0,04%
TURKCELL ILETISIM HIZMET;0,04%
UNITED SPIRITS;0,04%
DINO POLSKA;0,04%
HAPVIDA PARTICIPACOES ON;0,04%
HANGZHOU HIKVIS A (HK-C);0,04%
MOSCOW EXCHANGE (RUB);0,04%
NORTHAM PLATINUM;0,04%
AU OPTRONICS CORP;0,04%
QATAR ELECT & WATER CO;0,04%
LPP;0,04%
HYUNDAI HEAVY IND HLDGS;0,04%
QATAR FUEL CO;0,04%
DISCOVERY HOLDINGS;0,04%
MUYUAN FOODSTUFF A(HK-C);0,04%
MULTICHOICE GROUP;0,04%
ADANI PORTS AND SEZ;0,04%
KUALA LUMPUR KEPONG;0,04%
VANGUARD INTL SC;0,04%
LOGAN PROPERTY HOLDINGS;0,04%
JARIR MARKETING CO;0,04%
WIWYNN CORPORATION;0,04%
BANK ALBILAD;0,04%
HAITONG SECURITIES CO H;0,04%
HYUNDAI ENGR, & CONSTR,;0,04%
INFO EDGE (INDIA);0,04%
PING AN BANK CO A (HK-C);0,04%
JSW STEEL;0,04%
LUXSHARE PREC A (HK-C);0,04%
CHINA VANKE CO A (HK-C);0,04%
KANGWON LAND;0,04%
CENTRAL RETAIL CORP;0,04%
CGN POWER CO H;0,04%
HINDALCO INDUSTRIES;0,04%
INDIAN OIL CORP;0,04%
PLDT;0,04%
AGRI BANK OF CN A (HK-C);0,04%
BANCO BTG PACTUAL;0,04%
TIM PARTICIPACOES ON;0,04%
ZEE ENTERTAINMENT ENT;0,04%
GROWTHPOINT PROP LTD;0,04%
DAELIM INDUSTRIAL CO;0,04%
COMMERCIAL BANK OF QATAR;0,04%
WPG HOLDINGS CO;0,04%
CRRC CORP H;0,04%
NEDBANK GROUP;0,04%
ZTE CORP H;0,04%
TATA CONSUMER PRODUCTS;0,04%
INVENTEC CO;0,04%
ENEL CHILE;0,04%
SEAZEN GROUP;0,04%
CHINA RAILWAY GROUP H;0,04%
HONG LEONG BANK;0,04%
HOTEL SHILLA CO;0,04%
AIRTAC INTERNATIONAL;0,04%
FENG TAY ENTERPRISE CO;0,04%
KALBE FARMA;0,04%
BK SANTANDER BRASIL UNIT;0,04%
WALSIN TECHNOLOGY CORP;0,04%
MARICO;0,04%
LG DISPLAY CO;0,04%
CJ CHEILJEDANG CORP;0,04%
