DOLLAR GENERAL CORP;0,12%
KDDI;0,12%
SHERWIN-WILLIAMS CO;0,12%
KIMBERLY-CLARK CORP;0,12%
AUTODESK;0,12%
ZURICH INSURANCE GROUP;0,12%
VINCI;0,12%
CONOCOPHILLIPS;0,11%
MOODY'S CORP;0,11%
EDWARDS LIFESCIENCES;0,11%
NINTENDO CO;0,11%
BAXTER INTERNATIONAL;0,11%
NORFOLK SOUTHERN CORP;0,11%
PROGRESSIVE CORP;0,11%
RELX (GB);0,11%
AON PLC A;0,11%
VODAFONE GROUP;0,11%
WASTE MANAGEMENT;0,11%
ESTEE LAUDER COS A;0,11%
DEERE & CO;0,11%
RECRUIT HOLDINGS CO;0,11%
BARRICK GOLD CORP;0,11%
HONGKONG EXCH & CLEARING;0,11%
L3HARRIS TECHNOLOGIES;0,11%
T-MOBILE US;0,10%
DANONE;0,10%
AMERICAN ELECTRIC POWER;0,10%
WESTPAC BANKING;0,10%
HONDA MOTOR CO;0,10%
SCHWAB (CHARLES) CORP;0,10%
BROOKFIELD ASSET MAN A;0,10%
BHP GROUP (GB);0,10%
TC ENERGY CORPORATION;0,10%
BNP PARIBAS;0,10%
ANALOG DEVICES;0,10%
SHIN-ETSU CHEMICAL CO;0,10%
PROSUS N;0,10%
ROPER TECHNOLOGIES;0,10%
KONINKLIJKE PHILIPS;0,10%
NATIONAL GRID;0,10%
KERING;0,10%
KAO CORP;0,10%
LAM RESEARCH CORP;0,10%
UBS GROUP;0,10%
NATIONAL AUSTRALIA BANK;0,09%
AIRBUS;0,09%
CENTENE CORP;0,09%
BLACKSTONE GROUP A;0,09%
GENERAL MILLS;0,09%
BANCO SANTANDER;0,09%
LULULEMON ATHLETICA;0,09%
EXELON CORP;0,09%
MERCADOLIBRE;0,09%
SEMPRA ENERGY;0,09%
DUPONT DE NEMOURS;0,09%
SUMITOMO MITSUI FINL GRP;0,09%
DIGITAL REALTY TRUST;0,09%
ESSILORLUXOTTICA;0,09%
ANHEUSER-BUSCH INBEV;0,09%
EMERSON ELECTRIC CO;0,09%
DAIKIN INDUSTRIES;0,09%
LONZA GROUP;0,09%
GENERAL DYNAMICS CORP;0,09%
ABB LTD;0,09%
HOYA CORP;0,09%
EBAY;0,09%
ELECTRONIC ARTS;0,09%
SBA COMMUNICATIONS A;0,09%
AXA;0,09%
PRUDENTIAL;0,09%
EATON CORP PLC;0,09%
ROSS STORES;0,08%
ANZ BANKING GROUP;0,08%
DEXCOM;0,08%
GENERAL MOTORS;0,08%
PHILLIPS 66;0,08%
FANUC;0,08%
XCEL ENERGY;0,08%
ASTELLAS PHARMA;0,08%
UBER TECHNOLOGIES;0,08%
CP RAILWAY;0,08%
FAST RETAILING CO;0,08%
PERNOD RICARD;0,08%
GIVAUDAN;0,08%
MURATA MANUFACTURING CO;0,08%
CHUGAI PHARMACEUTICAL CO;0,08%
MUENCHENER RUECKVERSICH;0,08%
WALGREENS BOOTS ALLIANCE;0,08%
BANK MONTREAL;0,08%
PUBLIC STORAGE;0,08%
HITACHI;0,08%
NTT DOCOMO;0,08%
FEDEX CORP;0,08%
KINDER MORGAN P;0,08%
LONDON STOCK EXCHANGE;0,08%
EXPERIAN;0,08%
DAIMLER;0,08%
ALCON;0,08%
CAPITAL ONE FINANCIAL;0,08%
SAFRAN;0,08%
ALLSTATE CORP;0,08%
DEUTSCHE BOERSE;0,08%
WESFARMERS;0,08%
O'REILLY AUTOMOTIVE;0,08%
MITSUBISHI CORP;0,08%
TOKYO ELECTRON;0,08%
DEUTSCHE POST;0,08%
INDITEX;0,07%
FIN RICHEMONT NAMEN A;0,07%
BANK NEW YORK MELLON;0,07%
WOOLWORTHS GROUP;0,07%
EOG RESOURCES;0,07%
SMC CORP;0,07%
MIZUHO FINANCIAL GROUP;0,07%
WORKDAY A;0,07%
VONOVIA;0,07%
CANADIAN IMPERIAL BANK;0,07%
HCA HOLDINGS;0,07%
WEC ENERGY GROUP;0,07%
SQUARE;0,07%
NTT CORP;0,07%
MONSTER BEVERAGE;0,07%
ITOCHU CORP;0,07%
AMPHENOL CORP;0,07%
SPLUNK;0,07%
CONSTELLATION BRANDS A;0,07%
COGNIZANT TECH SOLUTIONS;0,07%
VEEVA SYSTEMS A;0,07%
ORIENTAL LAND CO;0,07%
IQVIA HOLDINGS;0,07%
PRICE (T, ROWE) GROUP;0,07%
DOW;0,07%
MSCI;0,07%
TESCO;0,07%
METLIFE;0,07%
TE CONNECTIVITY;0,07%
EVERSOURCE ENERGY;0,07%
AHOLD DELHAIZE;0,07%
NIDEC CORP;0,07%
AGILENT TECHNOLOGIES;0,07%
TRAVELERS COS (THE);0,07%
NXP SEMICONDUCTORS (US);0,07%
CHIPOTLE MEXICAN GRILL A;0,07%
SYSCO CORP;0,07%
KLA CORPORATION;0,07%
SYNOPSYS;0,07%
TOKIO MARINE HOLDINGS;0,07%
VOLKSWAGEN VORZUG;0,07%
VALERO ENERGY CORP;0,07%
YUM BRANDS;0,07%
LLOYDS BANKING GROUP;0,07%
ERICSSON (LM) B;0,07%
ATLAS COPCO A;0,07%
AUTOZONE;0,07%
ALIMENTATION COUCHE B;0,07%
SUNCOR ENERGY;0,07%
TRANSURBAN GROUP;0,07%
AMERICAN INTL GROUP;0,06%
IDEXX LABORATORIES;0,06%
COMPASS GROUP;0,06%
IHS MARKIT;0,06%
ZIMMER BIOMET HOLDINGS;0,06%
PUBLIC SERVICE ENT GRP;0,06%
FRANCO-NEVADA CORP;0,06%
ALEXION PHARMACEUTICALS;0,06%
HERMES INTERNATIONAL;0,06%
INFINEON TECHNOLOGIES;0,06%
VERISK ANALYTICS A;0,06%
INTESA SANPAOLO;0,06%
MARRIOTT INTERNATIONAL A;0,06%
BARCLAYS;0,06%
WILLIS TOWERS WATSON;0,06%
ANGLO AMERICAN;0,06%
KROGER CO;0,06%
CRH;0,06%
