SIG COMBIBLOC GROUP;0.096242%
MANPOWERGROUP;0.095896%
OSRAM LICHT;0.095849%
HERBALIFE NUTRITION;0.095773%
JABIL CIRCUIT;0.095325%
PHOENIX GROUP HOLDINGS;0.095148%
NUTANIX A;0.094596%
CIRRUS LOGIC;0.094548%
LEGGETT & PLATT;0.094508%
CABOT MICROELECTRONICS;0.094281%
GRAPHIC PACKAGING HLDGS;0.094044%
PENN NATIONAL GAMING;0.093857%
HEALTHCARE REALTY TRUST;0.093657%
BLUEBIRD BIO;0.093639%
KEMPER;0.093467%
FLOOR & DECOR HOLDINGS A;0.093403%
MORPHOSYS;0.093343%
WENDYS;0.093328%
TECAN GROUP;0.093270%
WOODWARD;0.093019%
FASTIGHETS AB BALDER B;0.092872%
DESCARTES SYSTEMS GROUP;0.092750%
LOGMEIN;0.092633%
BELLWAY;0.092542%
SOUTHWEST GAS HLDGS;0.092183%
MIDDLEBY CORP;0.091866%
HIGHWOODS PROPERTIES;0.091617%
LITTELFUSE;0.091400%
TOROMONT INDUSTRIES;0.090947%
EQUITY COMMONWEALTH;0.090893%
TOMRA SYSTEMS;0.090487%
STAG INDUSTRIAL;0.090381%
ROYAL UNIBREW;0.090346%
TOLL BROTHERS;0.090056%
DERWENT LONDON;0.089926%
SILICON LABORATORIES;0.089881%
TATE & LYLE;0.089426%
PURE STORAGE;0.089394%
TOPBUILD CORP;0.089344%
ICU MEDICAL;0.089322%
NEXSTAR MEDIA GROUP A;0.089134%
ASR NEDERLAND;0.088959%
FRONTDOOR;0.088828%
EMERGENT BIOSOLUTIONS;0.088717%
ATLAS ARTERIA;0.088493%
CORELOGIC;0.088460%
ELEKTA B;0.088356%
CREDIT ACCEPTANCE CORP;0.088336%
STARWOOD PROPERTY TRUST;0.088306%
AMS;0.088151%
QUALYS;0.088089%
HANOVER INSURANCE GROUP;0.088049%
TAPESTRY;0.088048%
QTS REALTY TRUST A;0.088039%
FIRST FINL BANKSHARES;0.087657%
L BRANDS;0.087376%
HUHTAMAKI;0.087316%
EXPONENT;0.087276%
CARTER HOLDINGS;0.087057%
ENVESTNET;0.086863%
NEWMARKET CORP;0.086551%
WRIGHT MEDICAL GROUP NV;0.086208%
SYNEOS HEALTH;0.086134%
PEGASYSTEMS;0.086121%
ULTRAGENYX PHARMA;0.086042%
NEVRO;0.085955%
HUDSON PACIFIC PPTYS;0.085936%
DARLING INGREDIENTS;0.085820%
MARRIOTT VACATIONS WORLD;0.085808%
GLACIER BANCORP;0.085720%
CONVATEC GROUP;0.085576%
NEKTAR THERAPEUTICS;0.085538%
FIRST SOLAR;0.085360%
STRATEGIC EDUCATION;0.085191%
NEOGEN CORP;0.085112%
POPULAR;0.085028%
INTEGRA LIFESCIENCES;0.084885%
GLOBAL BLOOD THERAPEUTIC;0.084509%
DXC TECHNOLOGY;0.084183%
ABCAM;0.084050%
SPECTRIS;0.084020%
HUNTSMAN CORP;0.083931%
UNITED BANKSHARES;0.083902%
SPIRE;0.083871%
WESTERN ALLIANCE BANCORP;0.083593%
SARACEN MINERAL HOLDINGS;0.083584%
BELIMO HOLDING;0.083255%
REXNORD CORP;0.083159%
TEXAS PACIFIC LAND TRUST;0.082996%
HANESBRANDS;0.082783%
J2 GLOBAL;0.082587%
JBG SMITH PROPERTIES;0.082575%
Q2 HOLDINGS;0.082450%
BLACKLINE;0.082328%
NOVANTA;0.082322%
ACUITY BRANDS;0.082054%
IG GROUP HOLDINGS;0.082053%
ASHLAND GLOBAL HOLDINGS;0.081812%
EMCOR GROUP;0.081796%
ARMSTRONG WORLD IND;0.081757%
AGCO CORP;0.081647%
WINGSTOP;0.080892%
BRIXMOR PROPERTY GROUP;0.080792%
TRAVIS PERKINS;0.080589%
DECHRA PHARMACEUTICALS;0.080419%
ELECTROCOMPONENTS;0.079894%
VALMET CORPORATION;0.079559%
COHERENT;0.079397%
INDUTRADE;0.079264%
JANUS HENDERSON;0.079098%
FLOWSERVE CORP;0.079088%
VALVOLINE;0.079005%
GALENICA SANTE;0.078933%
PERFORMANCE FOOD GROUP;0.078817%
TEXAS ROADHOUSE A;0.078530%
SEMTECH CORP;0.078301%
HARLEY-DAVIDSON;0.078245%
EVOTEC BIOSYSTEMS;0.078227%
MOMENTA PHARMACEUTICALS;0.077613%
TERRENO REALTY CORP;0.077590%
STAMPS.COM;0.077529%
SL GREEN REALTY CORP;0.077208%
PHYSICIANS REALTY TRUST;0.077114%
NEW RELIC;0.076954%
WAREHOUSES DE PAUW;0.076891%
AMPLIFON;0.076781%
ENVISTA HOLDINGS;0.076762%
BEYOND MEAT;0.076722%
TAG IMMOBILIEN;0.076584%
RBC BEARINGS INC;0.076520%
BLUEPRINT MEDICINES;0.076420%
FISCHER (GEORG);0.076305%
STIFEL FINANCIAL CORP;0.076244%
BLOCK (H&R);0.076237%
ESSENT GROUP;0.076020%
PVH CORP;0.075878%
TRELLEBORG B;0.075854%
STANTEC;0.075811%
TAIYO YUDEN CO;0.075810%
KINAXIS INC;0.075684%
AIR LEASE CORP A;0.075572%
RADIAN GROUP;0.075427%
FRESHPET;0.075294%
FASTLY A;0.075248%
LATTICE SEMICONDUCTOR;0.075243%
MATTEL;0.075089%
TECHNIPFMC;0.075010%
IRHYTHM TECHNOLOGIES;0.074800%
HASEKO CORP;0.074799%
QUBE HOLDINGS;0.074719%
ASGN INCORPORATED;0.074704%
REATA PHARMACEUTICALS A;0.074616%
FIRSTSERVICE CORP(NEW);0.074481%
LIVERAMP HOLDINGS;0.074441%
NEW JERSEY RESOURCES;0.074312%
COFINIMMO;0.074269%
REGAL BELOIT CORP;0.074262%
COGENT COMMU HOLDINGS;0.074055%
MERLIN PROPERTIES SOCIMI;0.073579%
AFFILIATED MANAGERS GRP;0.073472%
