Naam	Weging
HERITAGE-CRYSTAL CLEAN	0,00%
TORM	0,00%
DATAGROUP	0,00%
KINTETSU DEPT STORE CO	0,00%
MAXVALU TOKAI CO	0,00%
YOMA STRATEGIC HLDGS	0,00%
AGRANA BETEILIGUNGS	0,00%
OUE	0,00%
NORWEGIAN AIR SHUTTLE	0,00%
FORFARMERS	0,00%
ATRESMEDIA	0,00%
DAI-ICHI SEIKO CO	0,00%
MAIRE TECNIMONT	0,00%
LNA SANTE	0,00%
ALPHA SYSTEMS	0,00%
VPOWER GROUP INTL HLDGS	0,00%
TOC CO	0,00%
HUTCHISON TELECOM (HK)	0,00%
SEMAPA	0,00%
TF1 TELEVISION FRANCAISE	0,00%
TACHIBANA ELETECH CO	0,00%
KFAST HOLDING B	0,00%
LITALICO	0,00%
KRONOS WORLDWIDE	0,00%
AOKI HOLDINGS	0,00%
CRAYON GROUP HOLDING	0,00%
FINNAIR	0,00%
CENTURY BANCORP A	0,00%
ATRECA A	0,00%
RANPAK HOLDINGS A	0,00%
SELVAAG BOLIG	0,00%
YH DIMRI CONST & DEV	0,00%
VERBIO	0,00%
ASTRONICS CORP	0,00%
MERUS BV (US)	0,00%
NITTETSU MINING CO	0,00%
TURNING POINT BRANDS	0,00%
RALLYE	0,00%
SANLORENZO	0,00%
GLOBALSTAR	0,00%
VERASTEM	0,00%
PNE	0,00%
LARGO RESOURCES	0,00%
FUJIYA CO	0,00%
SHINKO SHOJI CO	0,00%
OHB	0,00%
PEABODY ENERGY	0,00%
KOSHIDAKA HOLDINGS CO	0,00%
VILLAGE SUPER MARKET A	0,00%
CHINA AVIATION OIL SG	0,00%
GLOBAL INDEMNITY	0,00%
IMMOBILIARE GRANDE DISTR	0,00%
HORNBACH BAUMARKT	0,00%
BRACK CAPITAL PROPERTIES	0,00%
SUN HUNG KAI & CO	0,00%
TOSHO CO	0,00%
HAFNIA	0,00%
K&O ENERGY GROUP	0,00%
B&S GROUP	0,00%
CHORI CO	0,00%
DRAEGERWERK STAMM	0,00%
GULFPORT ENERGY CORP	0,00%
KOATSU GAS KOGYO CO	0,00%
SAS	0,00%
JAPFA	0,00%
NAPIER PORT HOLDINGS	0,00%
STELCO HOLDINGS	0,00%
SIIC ENVIRONMENT HLDGS	0,00%
DATALOGIC	0,00%
WEATHERNEWS	0,00%
LIBERTY BRAVES A	0,00%
HEROZ	0,00%
GODO STEEL	0,00%
FRONTERA ENERGY CORP	0,00%
JAC RECRUITMENT CO	0,00%
NORTHERN OIL AND GAS	0,00%
SMARTONE TELECOM HLDGS	0,00%
HOTEL CHOCOLAT GROUP	0,00%
GIFTEE	0,00%
SA SA INTERNATIONAL	0,00%
OSAKA TITANIUM TECH CO	0,00%
JSP CORP	0,00%
SANYO SPECIAL STEEL CO	0,00%
RPA HOLDINGS	0,00%
SYNERGIE	0,00%
HAWAIIAN HOLDINGS	0,00%
GREIF B	0,00%
AKWEL	0,00%
J TRUST CO	0,00%
AI INSIDE	0,00%
NIPPON SHARYO	0,00%
HEMISPHERE MEDIA GROUP A	0,00%
NIHON NOHYAKU CO	0,00%
CHORUS AVIATION	0,00%
BOIRON	0,00%
SILENCE THERAPEUTICS	0,00%
RPC	0,00%
CHATWORK	0,00%
UTD STATES LIME & MRLS	0,00%
SALCEF GROUP	0,00%
LAI SUN DEVELOPMENT	0,00%
WALLENIUS WILHELMSEN	0,00%
DELEK GROUP	0,00%
BET-AT-HOME,COM	0,00%
JAPAN INVESTMENT ADVISER	0,00%
SLATE RETAIL REIT	0,00%
NIPPON FINE CHEMICAL CO	0,00%
CORONADO GLOBAL RES CDI	0,00%
OSAKA STEEL CO	0,00%
AEON HOKKAIDO CORP	0,00%
GROUPE GUILLIN	0,00%
FAIRWOOD HOLDINGS	0,00%
BRUNEL INTERNATIONAL	0,00%
SILVERLAKE AXIS	0,00%
BIESSE	0,00%
ICHIKOH INDUSTRIES	0,00%
HURRICANE ENERGY	0,00%
SERVERWORKS	0,00%
MBB INDUSTRIES	0,00%
CSI PROPERTIES	0,00%
PRECIGEN	0,00%
MERCHANTS BANCORP	0,00%
OCEAN YIELD	0,00%
GROUPE CRIT	0,00%
GL EVENTS	0,00%
REGIS HEALTHCARE	0,00%
NAPHTHA ISRAEL PETROLEUM	0,00%
BAKKAVOR GROUP	0,00%
TV TOKYO HOLDINGS CORP	0,00%
FLEX LNG	0,00%
ASSOCIATED CAPITAL GRP A	0,00%
CRYSTAL INTL GROUP (HK)	0,00%
RECIPE UNLIMITED CORP	0,00%
DEA CAPITAL	0,00%
DTXS SILK ROAD INV HLDGS	0,00%
KNT-CT HOLDINGS CO	0,00%
REGAL HOTELS INTL	0,00%
MAUREL ET PROM	0,00%
NS UNITED KAIUN KAISHA	0,00%
COLLECTOR	0,00%
SECUREWORKS A	0,00%
BOCOM INTL HLDGS	0,00%
TELLURIAN	0,00%
LANGHAM HOSPITALITY INV	0,00%
KAPSCH TRAFFICCOM	0,00%
ORASCOM DEV HLDG INH	0,00%
VILLAGE ROADSHOW	0,00%
TK GROUP HOLDINGS	0,00%
GENCO SHIPPING & TRDNG	0,00%
CAIRO COMMUNICATIONS	0,00%
ALFA FINL SOFTW HLDGS	0,00%
EAGLE HOSPITALITY TRUST	0,00%
FINABLR	0,00%
