Naam	Weging
SEVEN GROUP HOLDINGS	0,03%
TOYO TIRE CORP	0,03%
SFS GROUP	0,03%
UNIPOL GRUPPO FINAN	0,03%
OTTER TAIL CORP	0,03%
ECHOSTAR HOLDING A	0,03%
BUZZI UNICEM	0,03%
CORECIVIC	0,03%
SAIPEM	0,03%
RWS HOLDINGS	0,03%
ARC RESOURCES	0,03%
AVIS BUDGET GROUP	0,03%
ARCONIC CORP	0,03%
NIPPON PAPER INDUSTRIES	0,03%
KAZ MINERALS	0,03%
HUFVUDSTADEN A	0,03%
FITBIT INC A	0,03%
US STEEL CORP	0,03%
DAILY MAIL & GEN TRUST A	0,03%
VECTOR GROUP LTD	0,03%
DE'LONGHI	0,03%
TOKUYAMA CORP	0,03%
VIRTU FINANCIAL A	0,03%
KEPPEL INFRASTRUCTURE TR	0,03%
PRAIRIESKY ROYALTY LTD	0,03%
RANGE RESOURCES CORP	0,03%
PALTAC CORP	0,03%
EASYJET	0,03%
BREMBO	0,03%
DAETWYLER HOLDING INH	0,03%
FUJI OIL HOLDINGS	0,03%
DUFRY GROUP	0,03%
ROCKET INTERNET	0,03%
CAL-MAINE FOODS	0,03%
BEACON ROOFING SUPPLY	0,02%
NATIONAL GENERAL HLDGS	0,02%
CENTRAL GARDEN & PET A	0,02%
ERG SPA	0,02%
COTY A	0,02%
KONGSBERG GRUPPEN	0,02%
KOEI TECMO HOLDINGS CO	0,02%
ASTM	0,02%
PDC ENERGY	0,02%
NIPPO CORP	0,02%
FORTUNE REAL ESTATE (HK)	0,02%
SITC INTL HOLDINGS	0,02%
OWENS-ILLINOIS	0,02%
MCUBS MIDCITY INV CORP	0,02%
CUBIC CORP	0,02%
DART GROUP	0,02%
PILGRIM'S PRIDE CORP	0,02%
NEC NETWORKS & SYSTEMS	0,02%
METSA BOARD CORP B	0,02%
HARVEY NORMAN HOLDINGS	0,02%
CERENCE	0,02%
NIPPON ELECTRIC GLASS CO	0,02%
ZYMEWORKS (US)	0,02%
ASCOTT RESIDENCE TRUST	0,02%
FIRST INTL BANK ISRAEL 5	0,02%
AMC NETWORKS A	0,02%
ARIAKE JAPAN CO	0,02%
SCHNEIDER NATIONAL B	0,02%
JENOPTIK	0,02%
MSG ENTERTAINMENT A	0,02%
COMPAGNIE PLASTIC OMNIUM	0,02%
CORE-MARK HOLDING	0,02%
COGECO COMMUNICATIONS	0,02%
SINCLAIR BROADCAST GRP A	0,02%
CIA DE DIST INTEG LOGIST	0,02%
OCI NV	0,02%
COCA-COLA CONSOLIDATED	0,02%
NITTO BOSEKI CO	0,02%
SUMITOMO OSAKA CEMENT CO	0,02%
BABCOCK INTL GROUP	0,02%
ADT	0,02%
KATITAS CO	0,02%
CONTINENTAL RESOURCES	0,02%
CONZZETA INH	0,02%
TELEKOM AUSTRIA	0,02%
HITACHI TRANSPORT SYSTEM	0,02%
AEON FINANCIAL SERVICE	0,02%
YAOKO CO	0,02%
FUJITSU GENERAL	0,02%
STURM RUGER & CO	0,02%
YUE YUEN INDUSTRIAL	0,02%
AMERICAN AIRLINES GROUP	0,02%
ITM POWER	0,02%
SHIKOKU ELECTRIC POWER	0,02%
COMPUGEN (USD)	0,02%
KOBE STEEL	0,02%
SUPER MICRO COMPUTER	0,02%
KAISER ALUMINUM CORP	0,02%
