Fund Holdings as of,"07/jun/2022"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"DD","DUPONT DE NEMOURS INC","Materialen","Aandelen","30.067.752,96","0,07","30.067.752,96","442.368,00","67,97","Verenigde Staten","New York Stock Exchange Inc.","USD"
"NUE","NUCOR CORP","Materialen","Aandelen","29.844.311,30","0,07","29.844.311,30","223.085,00","133,78","Verenigde Staten","New York Stock Exchange Inc.","USD"
"MFC","MANULIFE FINANCIAL CORP","Financiële waarden","Aandelen","29.838.387,54","0,07","29.838.387,54","1.584.604,00","18,83","Canada","Toronto Stock Exchange","CAD"
"BKR","BAKER HUGHES CLASS A","Energie","Aandelen","29.828.264,06","0,07","29.828.264,06","792.041,00","37,66","Verenigde Staten","NASDAQ","USD"
"PH","PARKER-HANNIFIN CORP","Industrie","Aandelen","29.758.762,48","0,07","29.758.762,48","104.873,00","283,76","Verenigde Staten","New York Stock Exchange Inc.","USD"
"SAF","SAFRAN SA","Industrie","Aandelen","29.694.818,80","0,07","29.694.818,80","283.909,00","104,59","Frankrijk","Nyse Euronext - Euronext Paris","EUR"
"CRWD","CROWDSTRIKE HOLDINGS INC CLASS A","IT","Aandelen","29.632.946,28","0,07","29.632.946,28","167.721,00","176,68","Verenigde Staten","NASDAQ","USD"
"BK","BANK OF NEW YORK MELLON CORP","Financiële waarden","Aandelen","29.445.594,50","0,07","29.445.594,50","635.425,00","46,34","Verenigde Staten","New York Stock Exchange Inc.","USD"
"HES","HESS CORP","Energie","Aandelen","29.404.249,29","0,07","29.404.249,29","227.781,00","129,09","Verenigde Staten","New York Stock Exchange Inc.","USD"
"RMS","HERMES INTERNATIONAL","Luxe-consumentengoederen","Aandelen","29.389.743,31","0,07","29.389.743,31","24.699,00","1.189,92","Frankrijk","Nyse Euronext - Euronext Paris","EUR"
"DLTR","DOLLAR TREE INC","Luxe-consumentengoederen","Aandelen","29.374.296,60","0,07","29.374.296,60","181.390,00","161,94","Verenigde Staten","NASDAQ","USD"
"6981","MURATA MANUFACTURING LTD","IT","Aandelen","29.341.508,07","0,06","29.341.508,07","449.418,00","65,29","Japan","Tokyo Stock Exchange","JPY"
"EQNR","EQUINOR","Energie","Aandelen","29.336.003,84","0,06","29.336.003,84","781.976,00","37,52","Noorwegen","Oslo Bors Asa","NOK"
"ILMN","ILLUMINA INC","Gezondheidszorg","Aandelen","29.316.709,95","0,06","29.316.709,95","125.785,00","233,07","Verenigde Staten","NASDAQ","USD"
"MNST","MONSTER BEVERAGE CORP","Basis-consumentengoederen","Aandelen","29.193.739,00","0,06","29.193.739,00","321.340,00","90,85","Verenigde Staten","NASDAQ","USD"
"MUV2","MUENCHENER RUECKVERSICHERUNGS-GESE","Financiële waarden","Aandelen","29.166.678,27","0,06","29.166.678,27","119.128,00","244,83","Duitsland","Xetra","EUR"
"YUM","YUM BRANDS INC","Luxe-consumentengoederen","Aandelen","29.150.444,16","0,06","29.150.444,16","242.496,00","120,21","Verenigde Staten","New York Stock Exchange Inc.","USD"
"LNG","CHENIERE ENERGY INC","Energie","Aandelen","28.899.438,75","0,06","28.899.438,75","197.603,00","146,25","Verenigde Staten","Nyse Mkt Llc","USD"
"KR","KROGER","Basis-consumentengoederen","Aandelen","28.683.670,73","0,06","28.683.670,73","551.291,00","52,03","Verenigde Staten","New York Stock Exchange Inc.","USD"
"WEC","WEC ENERGY GROUP INC","Nutsbedrijven","Aandelen","28.465.324,80","0,06","28.465.324,80","269.558,00","105,60","Verenigde Staten","New York Stock Exchange Inc.","USD"
"AJG","ARTHUR J GALLAGHER","Financiële waarden","Aandelen","28.342.494,60","0,06","28.342.494,60","173.285,00","163,56","Verenigde Staten","New York Stock Exchange Inc.","USD"
"BA.","BAE SYSTEMS PLC","Industrie","Aandelen","28.326.101,07","0,06","28.326.101,07","2.836.242,00","9,99","Verenigd Koninkrijk","London Stock Exchange","GBP"
"8766","TOKIO MARINE HOLDINGS INC","Financiële waarden","Aandelen","28.189.483,48","0,06","28.189.483,48","490.272,00","57,50","Japan","Tokyo Stock Exchange","JPY"
"CARR","CARRIER GLOBAL CORP","Industrie","Aandelen","27.985.081,98","0,06","27.985.081,98","699.802,00","39,99","Verenigde Staten","New York Stock Exchange Inc.","USD"
"WCN","WASTE CONNECTIONS INC","Industrie","Aandelen","27.933.391,78","0,06","27.933.391,78","213.346,00","130,93","Verenigde Staten","New York Stock Exchange Inc.","USD"
"PRU","PRUDENTIAL PLC","Financiële waarden","Aandelen","27.811.390,65","0,06","27.811.390,65","2.121.400,00","13,11","Verenigd Koninkrijk","London Stock Exchange","GBP"
"IFF","INTERNATIONAL FLAVORS & FRAGRANCES","Materialen","Aandelen","27.783.088,20","0,06","27.783.088,20","206.535,00","134,52","Verenigde Staten","New York Stock Exchange Inc.","USD"
"RMD","RESMED INC","Gezondheidszorg","Aandelen","27.767.668,50","0,06","27.767.668,50","129.453,00","214,50","Verenigde Staten","New York Stock Exchange Inc.","USD"
"TDG","TRANSDIGM GROUP INC","Industrie","Aandelen","27.700.571,97","0,06","27.700.571,97","43.767,00","632,91","Verenigde Staten","New York Stock Exchange Inc.","USD"
"DFS","DISCOVER FINANCIAL SERVICES","Financiële waarden","Aandelen","27.613.442,00","0,06","27.613.442,00","243.935,00","113,20","Verenigde Staten","New York Stock Exchange Inc.","USD"
"NDA SE","NORDEA BANK","Financiële waarden","Aandelen","27.166.953,40","0,06","27.166.953,40","2.693.361,00","10,09","Zweden","Nasdaq Omx Nordic","SEK"
"CMI","CUMMINS INC","Industrie","Aandelen","27.159.784,72","0,06","27.159.784,72","126.172,00","215,26","Verenigde Staten","New York Stock Exchange Inc.","USD"
"STLA","STELLANTIS NV","Luxe-consumentengoederen","Aandelen","27.106.375,33","0,06","27.106.375,33","1.823.160,00","14,87","Italië","Borsa Italiana","EUR"
"WBA","WALGREEN BOOTS ALLIANCE INC","Basis-consumentengoederen","Aandelen","27.095.633,00","0,06","27.095.633,00","630.131,00","43,00","Verenigde Staten","NASDAQ","USD"
"CRG","CRH PLC","Materialen","Aandelen","27.004.346,94","0,06","27.004.346,94","653.999,00","41,29","Ierland","Irish Stock Exchange - All Market","EUR"
"INVE B","INVESTOR CLASS B","Financiële waarden","Aandelen","26.948.816,38","0,06","26.948.816,38","1.416.094,00","19,03","Zweden","Nasdaq Omx Nordic","SEK"
"TWTR","TWITTER INC","Communicatie","Aandelen","26.938.907,83","0,06","26.938.907,83","671.291,00","40,13","Verenigde Staten","New York Stock Exchange Inc.","USD"
"MTB","M&T BANK CORP","Financiële waarden","Aandelen","26.826.364,52","0,06","26.826.364,52","148.532,00","180,61","Verenigde Staten","New York Stock Exchange Inc.","USD"
"OTIS","OTIS WORLDWIDE CORP","Industrie","Aandelen","26.825.195,98","0,06","26.825.195,98","350.702,00","76,49","Verenigde Staten","New York Stock Exchange Inc.","USD"
"RIO","RIO TINTO LTD","Materialen","Aandelen","26.819.483,69","0,06","26.819.483,69","318.758,00","84,14","Australië","Asx - All Markets","AUD"
"8001","ITOCHU CORP","Industrie","Aandelen","26.752.009,44","0,06","26.752.009,44","951.402,00","28,12","Japan","Tokyo Stock Exchange","JPY"
"OKE","ONEOK INC","Energie","Aandelen","26.624.085,50","0,06","26.624.085,50","385.075,00","69,14","Verenigde Staten","New York Stock Exchange Inc.","USD"
"MTD","METTLER TOLEDO INC","Gezondheidszorg","Aandelen","26.583.730,41","0,06","26.583.730,41","20.211,00","1.315,31","Verenigde Staten","New York Stock Exchange Inc.","USD"
"GIVN","GIVAUDAN SA","Materialen","Aandelen","26.477.494,99","0,06","26.477.494,99","7.365,00","3.595,04","Zwitserland","SIX Swiss Exchange","CHF"
"9434","SOFTBANK CORP","Communicatie","Aandelen","26.359.494,24","0,06","26.359.494,24","2.383.600,00","11,06","Japan","Tokyo Stock Exchange","JPY"
"KKR","KKR AND CO INC","Financiële waarden","Aandelen","26.301.104,60","0,06","26.301.104,60","461.828,00","56,95","Verenigde Staten","New York Stock Exchange Inc.","USD"
"TT","TRANE TECHNOLOGIES PLC","Industrie","Aandelen","26.218.357,75","0,06","26.218.357,75","187.609,00","139,75","Verenigde Staten","New York Stock Exchange Inc.","USD"
"PPG","PPG INDUSTRIES INC","Materialen","Aandelen","26.206.730,00","0,06","26.206.730,00","203.500,00","128,78","Verenigde Staten","New York Stock Exchange Inc.","USD"
"DSV","DSV","Industrie","Aandelen","26.180.024,75","0,06","26.180.024,75","161.841,00","161,76","Denemarken","Omx Nordic Exchange Copenhagen A/S","DKK"
"ATCO A","ATLAS COPCO CLASS A","Industrie","Aandelen","26.007.710,33","0,06","26.007.710,33","2.268.717,00","11,46","Zweden","Nasdaq Omx Nordic","SEK"
"FAST","FASTENAL","Industrie","Aandelen","26.004.708,72","0,06","26.004.708,72","473.157,00","54,96","Verenigde Staten","NASDAQ","USD"
"IDXX","IDEXX LABORATORIES INC","Gezondheidszorg","Aandelen","25.961.584,58","0,06","25.961.584,58","68.902,00","376,79","Verenigde Staten","NASDAQ","USD"
"DB1","DEUTSCHE BOERSE AG","Financiële waarden","Aandelen","25.838.447,19","0,06","25.838.447,19","156.827,00","164,76","Duitsland","Xetra","EUR"
"AMP","AMERIPRISE FINANCE INC","Financiële waarden","Aandelen","25.816.727,86","0,06","25.816.727,86","93.181,00","277,06","Verenigde Staten","New York Stock Exchange Inc.","USD"
"CSU","CONSTELLATION SOFTWARE INC","IT","Aandelen","25.817.676,63","0,06","25.817.676,63","16.930,00","1.524,97","Canada","Toronto Stock Exchange","CAD"
"HSY","HERSHEY FOODS","Basis-consumentengoederen","Aandelen","25.784.268,12","0,06","25.784.268,12","121.756,00","211,77","Verenigde Staten","New York Stock Exchange Inc.","USD"
"WOW","WOOLWORTHS GROUP LTD","Basis-consumentengoederen","Aandelen","25.731.677,37","0,06","25.731.677,37","1.044.677,00","24,63","Australië","Asx - All Markets","AUD"
"RSG","REPUBLIC SERVICES INC","Industrie","Aandelen","25.708.252,07","0,06","25.708.252,07","189.911,00","135,37","Verenigde Staten","New York Stock Exchange Inc.","USD"
"PCAR","PACCAR INC","Industrie","Aandelen","25.644.925,80","0,06","25.644.925,80","288.210,00","88,98","Verenigde Staten","NASDAQ","USD"
"VICI","VICI PPTYS INC","Vastgoed","Aandelen","25.622.688,26","0,06","25.622.688,26","797.966,00","32,11","Verenigde Staten","New York Stock Exchange Inc.","USD"
"VOW3","VOLKSWAGEN NON-VOTING PREF AG","Luxe-consumentengoederen","Aandelen","25.594.747,28","0,06","25.594.747,28","151.643,00","168,78","Duitsland","Xetra","EUR"
"ES","EVERSOURCE ENERGY","Nutsbedrijven","Aandelen","25.386.819,48","0,06","25.386.819,48","273.447,00","92,84","Verenigde Staten","New York Stock Exchange Inc.","USD"
"6594","NIDEC CORP","Industrie","Aandelen","25.301.943,76","0,06","25.301.943,76","387.500,00","65,30","Japan","Tokyo Stock Exchange","JPY"
"3382","SEVEN & I HOLDINGS LTD","Basis-consumentengoederen","Aandelen","25.155.658,65","0,06","25.155.658,65","607.012,00","41,44","Japan","Tokyo Stock Exchange","JPY"
"ROST","ROSS STORES INC","Luxe-consumentengoederen","Aandelen","25.126.687,94","0,06","25.126.687,94","312.094,00","80,51","Verenigde Staten","NASDAQ","USD"
"ALB","ALBEMARLE CORP","Materialen","Aandelen","25.077.481,49","0,06","25.077.481,49","97.241,00","257,89","Verenigde Staten","New York Stock Exchange Inc.","USD"
"6273","SMC (JAPAN) CORP","Industrie","Aandelen","24.851.550,10","0,06","24.851.550,10","47.045,00","528,25","Japan","Tokyo Stock Exchange","JPY"
"LYB","LYONDELLBASELL INDUSTRIES NV CLASS","Materialen","Aandelen","24.741.711,40","0,05","24.741.711,40","220.318,00","112,30","Verenigde Staten","New York Stock Exchange Inc.","USD"
"CAP","CAPGEMINI","IT","Aandelen","24.717.289,56","0,05","24.717.289,56","128.091,00","192,97","Frankrijk","Nyse Euronext - Euronext Paris","EUR"
"TCL","TRANSURBAN GROUP STAPLED UNITS","Industrie","Aandelen","24.674.845,08","0,05","24.674.845,08","2.429.312,00","10,16","Australië","Asx - All Markets","AUD"
"ADYEN","ADYEN NV","IT","Aandelen","24.666.005,99","0,05","24.666.005,99","15.818,00","1.559,36","Nederland","Euronext Amsterdam","EUR"
"APTV","APTIV PLC","Luxe-consumentengoederen","Aandelen","24.544.320,52","0,05","24.544.320,52","223.822,00","109,66","Verenigde Staten","New York Stock Exchange Inc.","USD"
"6954","FANUC CORP","Industrie","Aandelen","24.527.402,45","0,05","24.527.402,45","150.151,00","163,35","Japan","Tokyo Stock Exchange","JPY"
"SLF","SUN LIFE FINANCIAL INC","Financiële waarden","Aandelen","24.509.981,73","0,05","24.509.981,73","488.293,00","50,20","Canada","Toronto Stock Exchange","CAD"
"BIIB","BIOGEN INC","Gezondheidszorg","Aandelen","24.466.409,00","0,05","24.466.409,00","121.675,00","201,08","Verenigde Staten","NASDAQ","USD"
"DSM","KONINKILIJKE DSM NV","Materialen","Aandelen","24.427.240,47","0,05","24.427.240,47","147.162,00","165,99","Nederland","Euronext Amsterdam","EUR"
"NOKIA","NOKIA","IT","Aandelen","24.359.279,14","0,05","24.359.279,14","4.830.482,00","5,04","Finland","Nasdaq Omx Helsinki Ltd.","EUR"
"4503","ASTELLAS PHARMA INC","Gezondheidszorg","Aandelen","24.336.856,01","0,05","24.336.856,01","1.557.500,00","15,63","Japan","Tokyo Stock Exchange","JPY"
"DXCM","DEXCOM INC","Gezondheidszorg","Aandelen","24.270.463,20","0,05","24.270.463,20","78.698,00","308,40","Verenigde Staten","NASDAQ","USD"
"WDAY","WORKDAY INC CLASS A","IT","Aandelen","24.224.950,75","0,05","24.224.950,75","152.119,00","159,25","Verenigde Staten","NASDAQ","USD"
"WY","WEYERHAEUSER REIT","Vastgoed","Aandelen","24.122.481,72","0,05","24.122.481,72","617.259,00","39,08","Verenigde Staten","New York Stock Exchange Inc.","USD"
"RWE","RWE AG","Nutsbedrijven","Aandelen","24.085.626,83","0,05","24.085.626,83","538.754,00","44,71","Duitsland","Xetra","EUR"
"BMW","BMW AG","Luxe-consumentengoederen","Aandelen","23.988.606,77","0,05","23.988.606,77","271.313,00","88,42","Duitsland","Xetra","EUR"
"HOLN","HOLCIM LTD AG","Materialen","Aandelen","23.981.694,11","0,05","23.981.694,11","482.038,00","49,75","Zwitserland","SIX Swiss Exchange","CHF"
"GLW","CORNING INC","IT","Aandelen","23.976.995,84","0,05","23.976.995,84","669.001,00","35,84","Verenigde Staten","New York Stock Exchange Inc.","USD"
"AD","KONINKLIJKE AHOLD DELHAIZE NV","Basis-consumentengoederen","Aandelen","23.965.398,78","0,05","23.965.398,78","871.053,00","27,51","Nederland","Euronext Amsterdam","EUR"
"O39","OVERSEA-CHINESE BANKING LTD","Financiële waarden","Aandelen","23.962.393,58","0,05","23.962.393,58","2.766.851,00","8,66","Singapore","Singapore Exchange","SGD"
"EBAY","EBAY INC","Luxe-consumentengoederen","Aandelen","23.843.938,72","0,05","23.843.938,72","501.872,00","47,51","Verenigde Staten","NASDAQ","USD"
"SE","SEA ADS REPRESENTING LTD CLASS A","Communicatie","Aandelen","23.818.801,92","0,05","23.818.801,92","276.064,00","86,28","Singapore","New York Stock Exchange Inc.","USD"
"LSEG","LONDON STOCK EXCHANGE GROUP PLC","Financiële waarden","Aandelen","23.700.771,50","0,05","23.700.771,50","264.353,00","89,66","Verenigd Koninkrijk","London Stock Exchange","GBP"
"8411","MIZUHO FINANCIAL GROUP INC","Financiële waarden","Aandelen","23.689.624,66","0,05","23.689.624,66","2.030.594,00","11,67","Japan","Tokyo Stock Exchange","JPY"
"AME","AMETEK INC","Industrie","Aandelen","23.670.685,34","0,05","23.670.685,34","191.402,00","123,67","Verenigde Staten","New York Stock Exchange Inc.","USD"
"ON","ON SEMICONDUCTOR CORP","IT","Aandelen","23.666.370,92","0,05","23.666.370,92","361.429,00","65,48","Verenigde Staten","NASDAQ","USD"
"SGO","COMPAGNIE DE SAINT GOBAIN SA","Industrie","Aandelen","23.587.574,52","0,05","23.587.574,52","395.426,00","59,65","Frankrijk","Nyse Euronext - Euronext Paris","EUR"
"EXPN","EXPERIAN PLC","Industrie","Aandelen","23.559.190,74","0,05","23.559.190,74","729.461,00","32,30","Verenigd Koninkrijk","London Stock Exchange","GBP"
"FITB","FIFTH THIRD BANCORP","Financiële waarden","Aandelen","23.543.857,08","0,05","23.543.857,08","595.143,00","39,56","Verenigde Staten","NASDAQ","USD"
"AMS","AMADEUS IT GROUP SA","IT","Aandelen","23.420.579,42","0,05","23.420.579,42","379.548,00","61,71","Spanje","Bolsa De Madrid","EUR"
"TSN","TYSON FOODS INC CLASS A","Basis-consumentengoederen","Aandelen","23.340.097,44","0,05","23.340.097,44","264.088,00","88,38","Verenigde Staten","New York Stock Exchange Inc.","USD"
"EQR","EQUITY RESIDENTIAL REIT","Vastgoed","Aandelen","23.334.569,85","0,05","23.334.569,85","307.641,00","75,85","Verenigde Staten","New York Stock Exchange Inc.","USD"
"AVB","AVALONBAY COMMUNITIES REIT INC","Vastgoed","Aandelen","23.314.797,90","0,05","23.314.797,90","113.814,00","204,85","Verenigde Staten","New York Stock Exchange Inc.","USD"
"FANG","DIAMONDBACK ENERGY INC","Energie","Aandelen","23.232.175,60","0,05","23.232.175,60","144.839,00","160,40","Verenigde Staten","NASDAQ","USD"
"CTRA","COTERRA ENERGY INC","Energie","Aandelen","23.189.264,24","0,05","23.189.264,24","642.184,00","36,11","Verenigde Staten","New York Stock Exchange Inc.","USD"
"DSY","DASSAULT SYSTEMES","IT","Aandelen","23.096.845,49","0,05","23.096.845,49","558.136,00","41,38","Frankrijk","Nyse Euronext - Euronext Paris","EUR"
"KEYS","KEYSIGHT TECHNOLOGIES INC","IT","Aandelen","23.027.860,90","0,05","23.027.860,90","155.122,00","148,45","Verenigde Staten","New York Stock Exchange Inc.","USD"
"6902","DENSO CORP","Luxe-consumentengoederen","Aandelen","22.917.653,29","0,05","22.917.653,29","377.943,00","60,64","Japan","Tokyo Stock Exchange","JPY"
"SIVB","SVB FINANCIAL GROUP","Financiële waarden","Aandelen","22.876.631,96","0,05","22.876.631,96","46.501,00","491,96","Verenigde Staten","NASDAQ","USD"
"AWK","AMERICAN WATER WORKS INC","Nutsbedrijven","Aandelen","22.818.694,85","0,05","22.818.694,85","145.481,00","156,85","Verenigde Staten","New York Stock Exchange Inc.","USD"
"REP","REPSOL SA","Energie","Aandelen","22.741.650,45","0,05","22.741.650,45","1.331.847,00","17,08","Spanje","Bolsa De Madrid","EUR"
"STT","STATE STREET CORP","Financiële waarden","Aandelen","22.707.935,25","0,05","22.707.935,25","311.025,00","73,01","Verenigde Staten","New York Stock Exchange Inc.","USD"
"FNV","FRANCO NEVADA CORP","Materialen","Aandelen","22.707.791,73","0,05","22.707.791,73","155.478,00","146,05","Canada","Toronto Stock Exchange","CAD"
"TROW","T ROWE PRICE GROUP INC","Financiële waarden","Aandelen","22.631.700,60","0,05","22.631.700,60","179.460,00","126,11","Verenigde Staten","NASDAQ","USD"
"KHC","KRAFT HEINZ","Basis-consumentengoederen","Aandelen","22.623.805,80","0,05","22.623.805,80","610.135,00","37,08","Verenigde Staten","NASDAQ","USD"
"9983","FAST RETAILING LTD","Luxe-consumentengoederen","Aandelen","22.618.172,49","0,05","22.618.172,49","43.755,00","516,93","Japan","Tokyo Stock Exchange","JPY"
"FRC","FIRST REPUBLIC BANK","Financiële waarden","Aandelen","22.573.611,60","0,05","22.573.611,60","146.868,00","153,70","Verenigde Staten","New York Stock Exchange Inc.","USD"
"DHI","D R HORTON INC","Luxe-consumentengoederen","Aandelen","22.536.860,09","0,05","22.536.860,09","298.541,00","75,49","Verenigde Staten","New York Stock Exchange Inc.","USD"
"STM","STMICROELECTRONICS NV","IT","Aandelen","22.526.749,50","0,05","22.526.749,50","572.266,00","39,36","Frankrijk","Nyse Euronext - Euronext Paris","EUR"
"SNOW","SNOWFLAKE CLASS A","IT","Aandelen","22.495.995,10","0,05","22.495.995,10","171.385,00","131,26","Verenigde Staten","New York Stock Exchange Inc.","USD"
"4661","ORIENTAL LAND LTD","Luxe-consumentengoederen","Aandelen","22.458.071,33","0,05","22.458.071,33","155.400,00","144,52","Japan","Tokyo Stock Exchange","JPY"
"VNA","VONOVIA SE","Vastgoed","Aandelen","22.421.118,65","0,05","22.421.118,65","583.061,00","38,45","Duitsland","Xetra","EUR"
"KDP","KEURIG DR PEPPER INC","Basis-consumentengoederen","Aandelen","22.406.750,41","0,05","22.406.750,41","615.401,00","36,41","Verenigde Staten","NASDAQ","USD"
"FERG","FERGUSON PLC","Industrie","Aandelen","22.358.777,43","0,05","22.358.777,43","187.183,00","119,45","Verenigd Koninkrijk","London Stock Exchange","GBP"
"DTE","DTE ENERGY","Nutsbedrijven","Aandelen","22.335.142,90","0,05","22.335.142,90","166.618,00","134,05","Verenigde Staten","New York Stock Exchange Inc.","USD"
"VRSK","VERISK ANALYTICS INC","Industrie","Aandelen","22.306.011,20","0,05","22.306.011,20","127.136,00","175,45","Verenigde Staten","NASDAQ","USD"
"ROK","ROCKWELL AUTOMATION INC","Industrie","Aandelen","22.018.647,57","0,05","22.018.647,57","101.333,00","217,29","Verenigde Staten","New York Stock Exchange Inc.","USD"
"HIG","HARTFORD FINANCIAL SERVICES GROUP","Financiële waarden","Aandelen","21.960.930,39","0,05","21.960.930,39","299.073,00","73,43","Verenigde Staten","New York Stock Exchange Inc.","USD"
"TSCO","TESCO PLC","Basis-consumentengoederen","Aandelen","21.947.128,64","0,05","21.947.128,64","6.761.228,00","3,25","Verenigd Koninkrijk","London Stock Exchange","GBP"
"SSE","SSE PLC","Nutsbedrijven","Aandelen","21.861.661,10","0,05","21.861.661,10","961.064,00","22,75","Verenigd Koninkrijk","London Stock Exchange","GBP"
"IFC","INTACT FINANCIAL CORP","Financiële waarden","Aandelen","21.849.552,95","0,05","21.849.552,95","146.940,00","148,70","Canada","Toronto Stock Exchange","CAD"
"VOLV B","VOLVO CLASS B","Industrie","Aandelen","21.822.904,67","0,05","21.822.904,67","1.199.714,00","18,19","Zweden","Nasdaq Omx Nordic","SEK"
"WKL","WOLTERS KLUWER NV","Industrie","Aandelen","21.817.622,51","0,05","21.817.622,51","227.555,00","95,88","Nederland","Euronext Amsterdam","EUR"
"NA","NATIONAL BANK OF CANADA","Financiële waarden","Aandelen","21.801.382,52","0,05","21.801.382,52","283.773,00","76,83","Canada","Toronto Stock Exchange","CAD"
"ASSA B","ASSA ABLOY B","Industrie","Aandelen","21.775.268,13","0,05","21.775.268,13","865.547,00","25,16","Zweden","Nasdaq Omx Nordic","SEK"
"TEF","TELEFONICA SA","Communicatie","Aandelen","21.663.036,89","0,05","21.663.036,89","4.363.905,00","4,96","Spanje","Bolsa De Madrid","EUR"
"CBRE","CBRE GROUP INC CLASS A","Vastgoed","Aandelen","21.593.261,58","0,05","21.593.261,58","267.674,00","80,67","Verenigde Staten","New York Stock Exchange Inc.","USD"
"7733","OLYMPUS CORP","Gezondheidszorg","Aandelen","21.576.215,51","0,05","21.576.215,51","1.024.300,00","21,06","Japan","Tokyo Stock Exchange","JPY"
"SREN","SWISS RE AG","Financiële waarden","Aandelen","21.534.293,38","0,05","21.534.293,38","261.436,00","82,37","Zwitserland","SIX Swiss Exchange","CHF"
"6702","FUJITSU LTD","IT","Aandelen","21.407.216,46","0,05","21.407.216,46","149.259,00","143,42","Japan","Tokyo Stock Exchange","JPY"
"VEEV","VEEVA SYSTEMS INC CLASS A","Gezondheidszorg","Aandelen","21.347.661,06","0,05","21.347.661,06","111.151,00","192,06","Verenigde Staten","New York Stock Exchange Inc.","USD"
"FMG","FORTESCUE METALS GROUP LTD","Materialen","Aandelen","21.343.527,69","0,05","21.343.527,69","1.397.248,00","15,28","Australië","Asx - All Markets","AUD"
"7751","CANON INC","IT","Aandelen","21.335.914,61","0,05","21.335.914,61","839.464,00","25,42","Japan","Tokyo Stock Exchange","JPY"
"VMW","VMWARE CLASS A INC","IT","Aandelen","21.293.521,92","0,05","21.293.521,92","162.944,00","130,68","Verenigde Staten","New York Stock Exchange Inc.","USD"
"VWS","VESTAS WIND SYSTEMS","Industrie","Aandelen","21.260.995,82","0,05","21.260.995,82","812.864,00","26,16","Denemarken","Omx Nordic Exchange Copenhagen A/S","DKK"
"ENPH","ENPHASE ENERGY INC","IT","Aandelen","21.221.893,05","0,05","21.221.893,05","101.235,00","209,63","Verenigde Staten","NASDAQ","USD"
"ZBH","ZIMMER BIOMET HOLDINGS INC","Gezondheidszorg","Aandelen","21.069.450,93","0,05","21.069.450,93","176.861,00","119,13","Verenigde Staten","New York Stock Exchange Inc.","USD"
"EIX","EDISON INTERNATIONAL","Nutsbedrijven","Aandelen","20.997.997,47","0,05","20.997.997,47","298.989,00","70,23","Verenigde Staten","New York Stock Exchange Inc.","USD"
"MRK","MERCK","Gezondheidszorg","Aandelen","20.997.800,14","0,05","20.997.800,14","112.919,00","185,95","Duitsland","Xetra","EUR"
"8591","ORIX CORP","Financiële waarden","Aandelen","20.836.910,96","0,05","20.836.910,96","1.121.190,00","18,58","Japan","Tokyo Stock Exchange","JPY"
"UCG","UNICREDIT","Financiële waarden","Aandelen","20.732.884,85","0,05","20.732.884,85","1.800.202,00","11,52","Italië","Borsa Italiana","EUR"
"HEXA B","HEXAGON CLASS B","IT","Aandelen","20.606.578,72","0,05","20.606.578,72","1.689.679,00","12,20","Zweden","Nasdaq Omx Nordic","SEK"
"GMG","GOODMAN GROUP UNITS","Vastgoed","Aandelen","20.518.932,12","0,05","20.518.932,12","1.461.363,00","14,04","Australië","Asx - All Markets","AUD"
"ODFL","OLD DOMINION FREIGHT LINE INC","Industrie","Aandelen","20.492.916,64","0,05","20.492.916,64","76.741,00","267,04","Verenigde Staten","NASDAQ","USD"
"WTW","WILLIS TOWERS WATSON PLC","Financiële waarden","Aandelen","20.496.331,84","0,05","20.496.331,84","97.676,00","209,84","Verenigde Staten","NASDAQ","USD"
"DDOG","DATADOG INC CLASS A","IT","Aandelen","20.485.150,32","0,05","20.485.150,32","189.572,00","108,06","Verenigde Staten","NASDAQ","USD"
"RACE","FERRARI NV","Luxe-consumentengoederen","Aandelen","20.303.808,34","0,04","20.303.808,34","107.121,00","189,54","Italië","Borsa Italiana","EUR"
"HEIA","HEINEKEN NV","Basis-consumentengoederen","Aandelen","20.303.237,83","0,04","20.303.237,83","204.941,00","99,07","Nederland","Euronext Amsterdam","EUR"
"ENGI","ENGIE SA","Nutsbedrijven","Aandelen","20.295.877,50","0,04","20.295.877,50","1.504.871,00","13,49","Frankrijk","Nyse Euronext - Euronext Paris","EUR"
"CPRT","COPART INC","Industrie","Aandelen","20.223.817,50","0,04","20.223.817,50","173.595,00","116,50","Verenigde Staten","NASDAQ","USD"
"CDW","CDW CORP","IT","Aandelen","20.204.732,60","0,04","20.204.732,60","113.446,00","178,10","Verenigde Staten","NASDAQ","USD"
"ITX","INDUSTRIA DE DISENO TEXTIL INDITEX","Luxe-consumentengoederen","Aandelen","20.181.393,87","0,04","20.181.393,87","848.399,00","23,79","Spanje","Bolsa De Madrid","EUR"
"LR","LEGRAND SA","Industrie","Aandelen","20.088.809,90","0,04","20.088.809,90","234.386,00","85,71","Frankrijk","Nyse Euronext - Euronext Paris","EUR"
"AEM","AGNICO EAGLE MINES LTD","Materialen","Aandelen","19.999.880,99","0,04","19.999.880,99","374.483,00","53,41","Canada","Toronto Stock Exchange","CAD"
"CSGP","COSTAR GROUP INC","Industrie","Aandelen","19.984.640,36","0,04","19.984.640,36","322.541,00","61,96","Verenigde Staten","NASDAQ","USD"
