Fund Holdings as of,"07/jun/2022"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"ABT","ABBOTT LABORATORIES","Gezondheidszorg","Aandelen","170.437.454,88","0,38","170.437.454,88","1.458.226,00","116,88","Verenigde Staten","New York Stock Exchange Inc.","USD"
"NOVN","NOVARTIS AG","Gezondheidszorg","Aandelen","163.705.729,45","0,36","163.705.729,45","1.852.620,00","88,36","Zwitserland","SIX Swiss Exchange","CHF"
"AZN","ASTRAZENECA PLC","Gezondheidszorg","Aandelen","163.602.715,44","0,36","163.602.715,44","1.271.108,00","128,71","Verenigd Koninkrijk","London Stock Exchange","GBP"
"DIS","WALT DISNEY","Communicatie","Aandelen","161.575.485,36","0,36","161.575.485,36","1.498.984,00","107,79","Verenigde Staten","New York Stock Exchange Inc.","USD"
"CMCSA","COMCAST CORP CLASS A","Communicatie","Aandelen","160.268.422,86","0,35","160.268.422,86","3.759.522,00","42,63","Verenigde Staten","NASDAQ","USD"
"NOVO B","NOVO NORDISK CLASS B","Gezondheidszorg","Aandelen","159.966.753,32","0,35","159.966.753,32","1.386.618,00","115,36","Denemarken","Omx Nordic Exchange Copenhagen A/S","DKK"
"ACN","ACCENTURE PLC CLASS A","IT","Aandelen","159.063.321,48","0,35","159.063.321,48","518.916,00","306,53","Verenigde Staten","New York Stock Exchange Inc.","USD"
"CSCO","CISCO SYSTEMS INC","IT","Aandelen","158.957.775,27","0,35","158.957.775,27","3.488.211,00","45,57","Verenigde Staten","NASDAQ","USD"
"WMT","WALMART INC","Basis-consumentengoederen","Aandelen","156.059.225,53","0,35","156.059.225,53","1.264.969,00","123,37","Verenigde Staten","New York Stock Exchange Inc.","USD"
"CRM","SALESFORCE INC","IT","Aandelen","154.247.532,80","0,34","154.247.532,80","824.192,00","187,15","Verenigde Staten","New York Stock Exchange Inc.","USD"
"MCD","MCDONALDS CORP","Luxe-consumentengoederen","Aandelen","153.939.517,20","0,34","153.939.517,20","618.380,00","248,94","Verenigde Staten","New York Stock Exchange Inc.","USD"
"DHR","DANAHER CORP","Gezondheidszorg","Aandelen","151.476.777,61","0,34","151.476.777,61","564.643,00","268,27","Verenigde Staten","New York Stock Exchange Inc.","USD"
"MC","LVMH","Luxe-consumentengoederen","Aandelen","150.550.618,32","0,33","150.550.618,32","231.146,00","651,32","Frankrijk","Nyse Euronext - Euronext Paris","EUR"
"INTC","INTEL CORPORATION CORP","IT","Aandelen","147.092.179,47","0,33","147.092.179,47","3.379.099,00","43,53","Verenigde Staten","NASDAQ","USD"
"7203","TOYOTA MOTOR CORP","Luxe-consumentengoederen","Aandelen","144.365.483,30","0,32","144.365.483,30","8.730.800,00","16,54","Japan","Tokyo Stock Exchange","JPY"
"WFC","WELLS FARGO","Financiële waarden","Aandelen","143.959.656,92","0,32","143.959.656,92","3.166.036,00","45,47","Verenigde Staten","New York Stock Exchange Inc.","USD"
"LIN","LINDE PLC","Materialen","Aandelen","142.063.413,60","0,31","142.063.413,60","423.110,00","335,76","Verenigde Staten","New York Stock Exchange Inc.","USD"
"AMD","ADVANCED MICRO DEVICES INC","IT","Aandelen","141.724.567,04","0,31","141.724.567,04","1.346.168,00","105,28","Verenigde Staten","NASDAQ","USD"
"BHP","BHP GROUP LTD","Materialen","Aandelen","141.372.998,25","0,31","141.372.998,25","4.229.689,00","33,42","Australië","Asx - All Markets","AUD"
"BMY","BRISTOL MYERS SQUIBB","Gezondheidszorg","Aandelen","139.805.471,25","0,31","139.805.471,25","1.825.375,00","76,59","Verenigde Staten","New York Stock Exchange Inc.","USD"
"PM","PHILIP MORRIS INTERNATIONAL INC","Basis-consumentengoederen","Aandelen","136.308.032,36","0,30","136.308.032,36","1.282.537,00","106,28","Verenigde Staten","New York Stock Exchange Inc.","USD"
"QCOM","QUALCOMM INC","IT","Aandelen","133.404.836,11","0,30","133.404.836,11","940.199,00","141,89","Verenigde Staten","NASDAQ","USD"
"COP","CONOCOPHILLIPS","Energie","Aandelen","132.297.823,14","0,29","132.297.823,14","1.078.134,00","122,71","Verenigde Staten","New York Stock Exchange Inc.","USD"
"TXN","TEXAS INSTRUMENT INC","IT","Aandelen","130.342.040,75","0,29","130.342.040,75","767.395,00","169,85","Verenigde Staten","NASDAQ","USD"
"NEE","NEXTERA ENERGY INC","Nutsbedrijven","Aandelen","130.256.806,00","0,29","130.256.806,00","1.632.700,00","79,78","Verenigde Staten","New York Stock Exchange Inc.","USD"
"NKE","NIKE INC CLASS B","Luxe-consumentengoederen","Aandelen","128.008.155,31","0,28","128.008.155,31","1.052.093,00","121,67","Verenigde Staten","New York Stock Exchange Inc.","USD"
"RY","ROYAL BANK OF CANADA","Financiële waarden","Aandelen","126.364.760,47","0,28","126.364.760,47","1.191.488,00","106,06","Canada","Toronto Stock Exchange","CAD"
"RTX","RAYTHEON TECHNOLOGIES CORP","Industrie","Aandelen","125.570.359,32","0,28","125.570.359,32","1.249.332,00","100,51","Verenigde Staten","New York Stock Exchange Inc.","USD"
"TTE","TOTALENERGIES","Energie","Aandelen","124.965.240,41","0,28","124.965.240,41","2.095.314,00","59,64","Frankrijk","Nyse Euronext - Euronext Paris","EUR"
"T","AT&T INC","Communicatie","Aandelen","124.726.211,40","0,28","124.726.211,40","5.900.010,00","21,14","Verenigde Staten","New York Stock Exchange Inc.","USD"
"UNP","UNION PACIFIC CORP","Industrie","Aandelen","122.302.560,00","0,27","122.302.560,00","534.656,00","228,75","Verenigde Staten","New York Stock Exchange Inc.","USD"
"TD","TORONTO DOMINION","Financiële waarden","Aandelen","115.415.701,41","0,26","115.415.701,41","1.512.165,00","76,32","Canada","Toronto Stock Exchange","CAD"
"AMGN","AMGEN INC","Gezondheidszorg","Aandelen","114.779.256,46","0,25","114.779.256,46","465.806,00","246,41","Verenigde Staten","NASDAQ","USD"
"HSBA","HSBC HOLDINGS PLC","Financiële waarden","Aandelen","112.995.395,94","0,25","112.995.395,94","16.967.835,00","6,66","Verenigd Koninkrijk","London Stock Exchange","GBP"
"HON","HONEYWELL INTERNATIONAL INC","Industrie","Aandelen","112.715.136,06","0,25","112.715.136,06","570.363,00","197,62","Verenigde Staten","NASDAQ","USD"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Industrie","Aandelen","110.484.747,23","0,24","110.484.747,23","595.573,00","185,51","Verenigde Staten","New York Stock Exchange Inc.","USD"
"LOW","LOWES COMPANIES INC","Luxe-consumentengoederen","Aandelen","109.308.676,75","0,24","109.308.676,75","558.695,00","195,65","Verenigde Staten","New York Stock Exchange Inc.","USD"
"MDT","MEDTRONIC PLC","Gezondheidszorg","Aandelen","107.485.330,48","0,24","107.485.330,48","1.114.184,00","96,47","Verenigde Staten","New York Stock Exchange Inc.","USD"
"CBA","COMMONWEALTH BANK OF AUSTRALIA","Financiële waarden","Aandelen","107.024.798,11","0,24","107.024.798,11","1.454.044,00","73,61","Australië","Asx - All Markets","AUD"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","IT","Aandelen","106.694.068,36","0,24","106.694.068,36","747.262,00","142,78","Verenigde Staten","New York Stock Exchange Inc.","USD"
"1299","AIA GROUP LTD","Financiële waarden","Aandelen","105.404.050,90","0,23","105.404.050,90","10.210.074,00","10,32","Hong Kong","Hong Kong Exchanges And Clearing Ltd","HKD"
"ANTM","ANTHEM INC","Gezondheidszorg","Aandelen","103.233.081,77","0,23","103.233.081,77","206.297,00","500,41","Verenigde Staten","New York Stock Exchange Inc.","USD"
"CVS","CVS HEALTH CORP","Gezondheidszorg","Aandelen","102.659.818,80","0,23","102.659.818,80","1.070.265,00","95,92","Verenigde Staten","New York Stock Exchange Inc.","USD"
"CAT","CATERPILLAR INC","Industrie","Aandelen","102.549.048,90","0,23","102.549.048,90","451.559,00","227,10","Verenigde Staten","New York Stock Exchange Inc.","USD"
"SAN","SANOFI SA","Gezondheidszorg","Aandelen","101.583.215,73","0,22","101.583.215,73","948.983,00","107,04","Frankrijk","Nyse Euronext - Euronext Paris","EUR"
"SPGI","S&P GLOBAL INC","Financiële waarden","Aandelen","100.812.763,74","0,22","100.812.763,74","292.669,00","344,46","Verenigde Staten","New York Stock Exchange Inc.","USD"
"AMT","AMERICAN TOWER REIT CORP","Vastgoed","Aandelen","99.962.480,05","0,22","99.962.480,05","375.587,00","266,15","Verenigde Staten","New York Stock Exchange Inc.","USD"
"ULVR","UNILEVER PLC","Basis-consumentengoederen","Aandelen","98.287.916,62","0,22","98.287.916,62","2.113.663,00","46,50","Verenigd Koninkrijk","London Stock Exchange","GBP"
"ORCL","ORACLE CORP","IT","Aandelen","96.721.241,31","0,21","96.721.241,31","1.330.599,00","72,69","Verenigde Staten","New York Stock Exchange Inc.","USD"
"MS","MORGAN STANLEY","Financiële waarden","Aandelen","96.489.286,74","0,21","96.489.286,74","1.130.778,00","85,33","Verenigde Staten","New York Stock Exchange Inc.","USD"
"INTU","INTUIT INC","IT","Aandelen","94.371.225,00","0,21","94.371.225,00","226.500,00","416,65","Verenigde Staten","NASDAQ","USD"
"6758","SONY GROUP CORP","Luxe-consumentengoederen","Aandelen","94.318.084,54","0,21","94.318.084,54","1.030.498,00","91,53","Japan","Tokyo Stock Exchange","JPY"
"BP.","BP PLC","Energie","Aandelen","93.486.772,08","0,21","93.486.772,08","16.641.646,00","5,62","Verenigd Koninkrijk","London Stock Exchange","GBP"
"LMT","LOCKHEED MARTIN CORP","Industrie","Aandelen","92.546.766,00","0,20","92.546.766,00","202.820,00","456,30","Verenigde Staten","New York Stock Exchange Inc.","USD"
